id,latitude,longitude,population_density,avg_winter_low_temp,introduced,prop_forest,prop_developed,col_class,melanic_binary,pop_den_scaled,winter_temp_scaled,prop_forest_scaled,prop_developed_scaled,RAC
132815913,45.515125,-73.6729883333,4227.7998046875,-9.75,N,0.01665709362435382,0,gray,0,0.32725803000364073,-1.3783273255500048,-0.6209560154852274,-0.42078283128782024,-0.5586684509585289
132825461,42.2645137618,-83.0752796307,0.10000000149011612,-3.5,N,0.547455688965123,0.0660377358490566,melanic,1,-0.5680753582818839,-0.41698099204262096,2.182194897048808,0.16857294919035787,0.9701126602391433
133023946,45.3709785804,-75.7969344119,1643.0999755859375,-11.5,N,0.1286688407945449,0.5060776756596501,melanic,1,-0.22012427304575735,-1.6475042989320725,-0.02942123364753994,4.09572276488695,0.44558496554343796
133251247,42.2594216667,-72.1028666667,75.4000015258789,-7.25,N,0.591990713871155,0,melanic,1,-0.5521284820566589,-0.9937887921470512,2.417384659796624,-0.42078283128782024,-0.674820580441901
133590230,47.7307869722,-122.218529,2691.300048828125,3.25,Y,0.07867435158501442,0,gray,0,0.0018613376962438,0.6212730481453537,-0.293442463695065,-0.42078283128782024,-0.6489751633807644
133637198,29.6680353562,-90.7508283971,62.79999923706055,8.5,N,0.00744558991981672,0,gray,0,-0.5547968840868004,1.4288039682915563,-0.6696020278180346,-0.42078283128782024,-0.21192497734384907
133958882,40.6707107656,-73.6990619203,4087.300048828125,-0.75,N,0.01775995416786021,0,gray,0,0.2975032866967881,0.00601139470062797,-0.6151318016194333,-0.42078283128782024,-0.2405026763776575
133984843,34.7603720907,-84.6954019368,12.300000190734863,1.5,N,0.92936694021102,0.00293083235638921,gray,0,-0.5654916678565578,0.3520960747632862,4.199070755112566,-0.39462652885494176,-0.3268391375595132
134321297,46.7323811094,-117.0001650229,2904.10009765625,-2.25,Y,0,0,gray,0,0.04692768524850589,-0.22471172534114417,-0.7089222377079822,-0.42078283128782024,-0.8075974486852103
134982523,43.6663703,-79.3909892,17984.400390625,-3.75,N,0,0,gray,0,3.240602019150197,-0.4554348453829163,-0.7089222377079822,-0.42078283128782024,0.783433862850527
135052581,40.697395,-73.32467,2036.800048828125,-0.75,N,0,0.03840642017770135,melanic,1,-0.1367472981353151,0.00601139470062797,-0.7089222377079822,-0.07802356723704669,-0.44130253384538726
